key,text,en
$pages$ProfilePage$index0,个人档案,Personal files
$pages$ProfilePage$index1,修改密码,Password Reset
$pages$ProfilePage$index2,个人设置,Personal Settings
$pages$ProfilePage$index3,个人设置,Personal Settings
$pages$ProfilePage$components$profilePage0,提示,Tips
$pages$ProfilePage$components$profilePage1,个人档案已提交,Personal files Submitted
$pages$ProfilePage$components$profilePage2,男,Male
$pages$ProfilePage$components$profilePage3,女,Female
$pages$ProfilePage$components$profilePage4,未知,Unknown
$pages$ProfilePage$components$profilePage5,个人档案,Personal files
$pages$ProfilePage$components$profilePage6,头像：,Profile photo:
$pages$ProfilePage$components$profilePage7,上传头像,Upload profile photo
$pages$ProfilePage$components$profilePage8,用户名：,Username:
$pages$ProfilePage$components$profilePage9,请输入邮箱,Enter your email address
$pages$ProfilePage$components$profilePage10,电子邮件：,Email:
$pages$ProfilePage$components$profilePage11,请输入昵称,Enter your nickname
$pages$ProfilePage$components$profilePage12,姓名：,Name:
$pages$ProfilePage$components$profilePage13,请输入正确的手机号,Enter the correct phone number
$pages$ProfilePage$components$profilePage14,移动电话：,Phone number:
$pages$ProfilePage$components$profilePage15,性别：,Gender:
$pages$ProfilePage$components$profilePage16,性别：,Gender:
$pages$ProfilePage$components$profilePage17,保存,Save
$pages$ProfilePage$components$settingPage0,修改成功,Modified successfully
$pages$ProfilePage$components$settingPage1,修改出错,Error modifying
$pages$ProfilePage$components$settingPage2,请输入旧密码,Enter your old password
$pages$ProfilePage$components$settingPage3,请输入新密码,Enter your new password
$pages$ProfilePage$components$settingPage4,"密码需包含大写字母，小写字母，数字，特殊符号 `!@#$%^&*()_+~`[]{}|/:;<>,.?-`","Password must include uppercase letters,lowercase letters,numbers,and special characters. `!@#$%^&*() _ +~`[]{}|/:;<>,.?-`"
$pages$ProfilePage$components$settingPage5,请输入确认密码,Enter your new password again
$pages$ProfilePage$components$settingPage6,请确认两次输入是否一致,Confirm whether the two inputs are consistent
$pages$ProfilePage$components$settingPage7,修改密码,Password Reset
$pages$ProfilePage$components$settingPage8,旧密码：,Old password:
$pages$ProfilePage$components$settingPage9,新密码：,New password:
$pages$ProfilePage$components$settingPage10,请再次输入密码,Enter your new password again
$pages$ProfilePage$components$settingPage11,请再次输入密码,Enter your new password again
$pages$ProfilePage$components$settingPage12,确认密码,Confirm new password
$pages$ProfilePage$components$settingPage13,确认密码,Confirm new password
$pages$ProfilePage$components$settingPage14,确认,OK
$pages$ProfilePage$components$language0,简体中文,简体中文
$pages$ProfilePage$components$language1,简体中文,简体中文
$pages$ProfilePage$components$language2,繁体中文,繁體中文
$pages$ProfilePage$components$language3,提示,Tips
$pages$ProfilePage$components$language4,保存成功,Saved successfully
$pages$ProfilePage$components$language5,语言,Language
$pages$ProfilePage$components$language6,界面语言：,Language:
$pages$ProfilePage$components$language7,界面语言：,Language:
$pages$ProfilePage$components$language8,界面语言,Language
$pages$ProfilePage$components$language9,界面语言,Language
$pages$ProfilePage$components$language10,保存,Save
$pages$DashboardPage$index0,智能平台驾驶舱,Intelligent Dashboard
$pages$DashboardPage$index1,管理您个人工作台上的所有智能生态资源，包含业务应用、智能工厂、基础设施/算力。请在问学AI市场添加您感兴趣的数据集、大模型、AI能力、AI应用等资源，并创建企业自己的私有资源。,"Manage all intelligent ecosystem resources on your studio including business applications, smart factories, and infrastructure/computility. Please add datasets, models, AI capabilities, AI applications, and other resources of interest in Smart Vision Store, and create your own private enterprise resources."
$pages$DashboardPage$index2,管理您个人工作台上的所有智能生态资源，包含业务应用、智能工厂、基础设施/算力。请在问学AI市场添加您感兴趣的数据集、大模型、AI能力、AI应用等资源，并创建企业自己的私有资源。,"Manage all intelligent ecosystem resources on your studio including business applications, smart factories, and infrastructure/computility. Please add datasets, models, AI capabilities, AI applications, and other resources of interest in Smart Vision Store, and create your own private enterprise resources."
$pages$DashboardPage$index3,业务应用,Business Applications
$pages$DashboardPage$index4,AI应用,AI Applications
$pages$DashboardPage$index5,暂无数据,No data available
$pages$DashboardPage$index6,暂无数据,No data available
$pages$DashboardPage$index7,智能工厂,Smart Factory
$pages$DashboardPage$index8,数据集,Datasets
$pages$DashboardPage$index9,暂无数据,No data available
$pages$DashboardPage$index10,暂无数据,No data available
$pages$DashboardPage$index11,大模型,Models
$pages$DashboardPage$index12,暂无数据,No data available
$pages$DashboardPage$index13,暂无数据,No data available
$pages$DashboardPage$index14,基础设施/算力,Infrastructure/Computility
$pages$DashboardPage$index15,Kubernetes集群,Kubernetes Cluster
$pages$NotFoundPage$index0,页面没找到,Page not found
$pages$NotFoundPage$index1,页面没找到,Page not found
$pages$NotFoundPage$index2,似乎没找到您要找的页面,Page not found
$pages$Login$index0,登录,Log in
$pages$Login$index1,欢迎来到,Welcome to
$pages$Login$index2,问学AI,Smart Vision
$pages$Login$components$Login$index0,"opacity: 0;
  position: absolute;
  top: 0;
  bottom: 0;
  left: 0;
  right: 0;
  z-index: 1;
  cursor: pointer;
  cursor: hand; /* 针对 Firefox */","opacity: 0;
  position: absolute;
  top: 0;
  bottom: 0;
  left: 0;
  right: 0;
  z-index: 1;
  cursor: pointer;
Cursor: hand;/* for Firefox */"
$pages$Login$components$Login$index1,成功,Success
$pages$Login$components$Login$index2,登录成功,Log in successfully
$pages$Login$components$Login$index3,请输入用户名,Enter your username
$pages$Login$components$Login$index4,请输入密码,Enter your password
$pages$Login$components$Login$index5,请选择租户,Select tenant
$pages$Login$components$Login$index6,请输入用户名,Enter your username
$pages$Login$components$Login$index7,请输入企业用户名,Enter your business username
$pages$Login$components$Login$index8,用户名,Username
$pages$Login$components$Login$index9,企业用户名,Business username
$pages$Login$components$Login$index10,请输入登录密码,Enter your login password
